Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2006 ,2005 ,2004 ,2003 ,2002 ,2001 ,2000 ,1999 ,1998 ,1997 ,1996 ,1995 ,1994 ,1993 ,1992 ,1991 ,1990 ,1989 ,1988 ,1987 ,1986 ,1985 ,1984 ,1983 ,1982 ,1981 ,1980 ,1979 ,1978 ,1977 ,1976 ,1975 ,1974 ,1973 ,1972 ,1971 ,1970 ,1969 ,1968 ,1967 ,1966 ,1965 ,1964 ,1963 ,1962 ,1961 ,1960 ,1959 ,1958 ,1957 
  85 Years & Over,18905,17685,17201,16316,14939,13825,12805,11865,11006,10110,9313,8689,8035,7565,7139,6775,6512,6279,5983,5786,5544,5567,5380,5126,5069,4954,4763,4555,4259,3946,3639,3306,2993,2736,na,na,na,na,na,na,na,na,na,1042,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,106
  90 Years & Over,5853,5586,5320,4967,4558,4123,3833,3493,3286,3048,2978,2802,2675,2531,2437,2352,2228,2130,2058,1953,1798,1813,1667,1467,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Total Female Chinese,1583283,1552585,1519281,1545425,1538000,1523906,1511968,1497928,1484704,1470453,1458568,1446378,1432589,1423897,1410079,1382183,1362282,1345485,1328874,1314256,1299351,1306163,1285058,1264185,1247314,1228797,1207760,1186945,1166557,1145128,1123581,1101855,1079754,1056817,1023479,1004731,988039,975412,962470,948285,934466,919419,903828,887557,909500,897500,886000,872800,860200,846900,831700,815000,799000,769271,770100,756700,742300,727100,710000,693200,675100,656500,637400,615600,592300,564600,534933
  0 - 4 Years,55711,57008,57666,60058,61341,61658,63058,63234,62057,61543,61849,62238,61615,62624,63244,62175,62253,62705,65262,67674,69496,72577,74868,75984,78555,81616,82624,83346,84287,83466,84537,83698,79777,75579,73539,69089,67659,69314,70757,70153,70812,69869,70082,69607,73200,75900,80100,82100,84000,83600,82500,81000,80900,81626,91600,96900,99500,102500,104400,107500,109400,110900,110300,107700,104800,99900,94910
  5 - 9 Years,66763,66959,66321,66704,66410,66558,66455,65998,66418,66211,65569,65648,66191,69089,71240,72583,74920,77746,79148,81041,84072,86308,86786,87680,87130,88091,86951,82707,78415,76509,71407,69685,71004,72137,71806,72783,72111,72739,72461,73402,75275,78686,80163,81694,83300,82500,81600,81600,83200,87100,91400,94700,97600,97544,106300,108200,109900,109100,107200,104700,101300,97200,95000,92300,89400,85800,82066
  10 - 14 Years,68033,66824,65367,67631,67678,66752,66598,66935,69774,71955,73976,76622,79734,81409,83527,86225,86709,87270,88206,87574,88821,88749,84683,80370,78276,73019,71159,72441,73768,73892,75101,74739,75691,75473,75342,77062,80288,81532,82877,83076,82033,81050,81317,83297,87900,92300,95900,98800,101000,103600,104100,105600,106500,105326,104700,100600,97200,95300,93000,90100,87800,85300,82900,76900,67500,60400,52361
  15 - 19 Years,68429,67233,66502,71081,73472,74912,77408,80391,81913,83967,87625,89080,89936,91302,90833,91259,88996,84774,80493,78365,73253,72067,73517,74731,74779,75899,75349,76205,76097,76566,78460,82024,83397,84869,83709,82186,80933,81038,83134,86340,90571,93517,96096,97634,105900,107100,107800,108700,108300,106600,104400,101300,96900,91972,90100,87800,85400,82900,76700,68600,62100,54500,49100,48700,51500,52000,51969
  20 - 24 Years,76888,78396,80359,83744,85911,88579,89968,90928,92491,92582,94681,94133,90166,87232,85528,78812,76245,77884,78946,79512,81746,83164,83679,83460,84240,86225,90088,91891,93978,94453,93101,90601,88626,88649,87509,91674,94320,97140,98931,100972,102054,102960,103533,102358,108400,105900,103100,99100,95500,92900,90200,87500,85600,76773,68500,62000,54200,48700,49000,52000,53300,54500,54200,52300,49200,45700,42948
  25 - 29 Years,101348,102448,101561,105382,105926,108120,108422,104463,101120,99187,94507,93812,96675,100574,101995,100192,98777,99841,99973,101160,103354,108378,107843,109035,110023,108770,106560,104545,104510,104937,106643,107280,108086,108029,106056,106785,107741,108866,108538,106985,104101,100397,95711,91242,94200,91600,89000,87100,80700,71600,65100,58000,51900,49897,51600,53000,54200,53800,52500,49200,46600,44600,43300,41900,40900,40100,38760
  30 - 34 Years,123629,121445,115145,114650,113405,107978,106962,109155,110839,110916,112654,112033,113208,113716,113845,113255,116113,116308,117204,117637,116200,116773,114563,114310,114906,116315,116361,117162,116959,117192,116775,116492,116253,114777,110695,108070,104779,100629,96579,93151,90230,87315,85051,78534,72800,66000,58800,52100,52600,55700,56400,56000,54300,50428,49300,46200,44500,42900,41900,40900,41200,40000,38900,36300,34400,32200,29853
  35 - 39 Years,114523,110751,110020,115053,115478,116767,115729,116593,116429,116487,117668,120982,121267,122824,122612,119560,117442,115538,115303,115903,117830,121414,122363,122055,122231,121551,120991,120780,119518,117473,114397,110749,106061,101211,95865,92705,89705,87552,81054,71902,65157,57811,51021,51196,55900,56600,56100,54300,51500,48400,44500,43600,43000,41009,40800,40100,40100,38600,36200,34700,32400,30900,29300,29500,29600,28800,28270
  40 - 44 Years,118798,115099,113067,116766,117376,118524,121594,121695,122989,122882,121263,119310,117315,117193,117413,118511,119636,120797,120586,121017,120641,122761,122703,121555,119705,116708,112996,108302,103642,99824,96314,92946,90396,83418,72989,66339,58870,51953,52121,54762,55046,54527,52447,49349,47800,44100,43000,42600,41500,40200,39600,38900,38200,35802,33900,32500,30400,29800,29800,29100,29000,28900,29300,29000,28400,28200,27779
  45 - 49 Years,118510,119144,117038,122098,122466,120688,118325,116313,115886,116414,118279,119469,120835,120562,120712,119908,119822,120053,119328,117730,115049,113341,108833,104278,100555,97152,93842,91294,84416,74690,67856,60110,52865,52813,54990,54996,54369,51986,48402,45767,42482,41380,41180,40065,39500,39000,38400,37200,35700,33700,32200,30800,30200,29388,29300,28800,28900,29100,28400,28400,28400,28200,28000,27700,27300,25400,24531
  50 - 54 Years,119342,114890,111177,114093,114976,116686,117531,118733,118458,118980,118587,118400,118598,117783,116407,113644,110333,105933,101337,97723,94168,93283,90870,84215,74676,67852,60149,53027,52975,55429,55242,54429,51667,47420,44683,41621,40560,40671,39985,38514,37978,37339,36247,34713,33400,31700,30000,29200,28800,28600,28700,28200,27900,27676,27700,28000,27500,27600,27000,26300,25700,25000,24200,22800,21900,20900,19532
  55 - 59 Years,114655,113829,113555,116221,117007,116668,116335,116590,115878,114196,111664,108408,104272,99877,96583,93051,90248,87992,81500,72274,65739,59319,52347,52317,54787,54668,53985,51273,47018,44280,41089,39871,40073,39775,37968,37218,36670,35732,34430,32630,30716,29085,27874,27378,27700,27400,27100,27200,26900,26600,26800,26600,27000,26705,25400,24200,23700,22500,22000,21500,20200,19700,18500,17900,16600,15800,14733
  60 - 64 Years,114124,112602,111676,113310,111913,109436,106162,102107,97839,94552,91423,88727,86567,80199,71089,64623,57230,50401,50435,52820,52520,52712,50082,45961,43282,40225,39065,39140,38836,37087,36304,35736,34892,33824,31972,30122,28527,27198,26495,26397,25946,25542,25386,25015,25200,25100,25100,25100,25000,24600,24300,23200,22200,20638,20000,18900,18600,17400,16300,15900,14800,14400,13400,12300,11800,11300,10782
  65 - 69 Years,106348,102162,97430,95076,92066,88995,86261,84026,77724,68979,62892,55695,49085,49016,51261,50937,50207,47644,43572,40944,37863,37314,37355,37006,35415,34584,33949,33188,32123,30502,28710,27231,25925,25162,24938,24551,24059,23811,23481,23068,22821,22697,22451,22240,22300,21700,20900,19800,18800,18200,17200,16800,15900,15069,13900,13600,12600,11600,11400,10400,10100,9900,9500,9200,8900,8500,7720
  70 - 74 Years,85325,81924,79296,74542,66153,60163,53172,46759,46573,48725,48423,47786,45417,41419,38724,35621,34381,34343,33901,32237,31336,31189,30447,29397,27903,26136,24596,23252,22338,22186,21877,21520,21432,21315,20835,20572,20361,20001,19744,19269,18621,17758,16852,15831,na,na,na,na,na,na,na,na,na,9343,na,na,na,na,na,na,na,na,na,na,na,na,4700
  75 - 79 Years,56018,49141,42998,43128,44962,44563,43882,41656,37946,35437,32527,31180,31018,30534,28808,27949,27142,26204,25117,23331,21040,21331,19868,18689,18277,17797,17434,17289,17231,16992,16921,16968,16835,16661,na,na,na,na,na,na,na,na,na,9703,na,na,na,na,na,na,na,na,na,5748,na,na,na,na,na,na,na,na,na,na,na,na,2520
  80 - 84 Years,38685,38040,35990,32997,30690,27997,26719,26440,25900,24391,23454,22713,21864,20865,19467,17845,16627,15480,14602,14211,13826,13471,12982,12526,12288,12229,12172,12134,11962,11756,11435,10904,10330,9666,na,na,na,na,na,na,na,na,na,4665,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1053
  85 - 89 Years,21375,20323,20263,19797,18484,17535,16955,16290,15530,14440,13291,12337,11405,10638,10183,9771,9303,8965,8658,8225,7951,7851,7518,7206,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,322530,305957,289827,278634,264641,250580,237421,224793,212613,200581,188823,177516,166210,159513,155051,148385,143558,138243,131153,123826,116462,115317,111921,108234,104169,100705,97641,94833,92143,89330,86355,83495,80967,78843,76357,74082,71507,69060,66710,64234,62066,59941,57720,55475,54300,52300,50000,47700,45500,43700,41500,39600,36800,34487,30900,29500,28200,26900,25600,24300,22900,22400,21000,20300,19000,18100,16439
  70 Years & Over,216182,203795,192397,183558,172575,161585,151160,140767,134889,131602,125931,121821,117125,110497,103790,97448,93351,90599,87581,82882,78599,78003,74566,71228,68754,66121,63692,61645,60020,58828,57645,56264,55042,53681,51419,49531,47448,45249,43229,41166,39245,37244,35269,33235,32000,30600,29100,27900,26700,25500,24300,22800,20900,19418,17000,15900,15600,15300,14200,13900,12800,12500,11500,11100,10100,9600,8719
  75 Years & Over,130857,121871,113101,109016,106422,101422,97988,94008,88316,82877,77508,74035,71708,69078,65066,61827,58970,56256,53680,50645,47263,46814,44119,41831,40851,39985,39096,38393,37682,36642,35768,34744,33610,32366,30584,28959,27087,25248,23485,21897,20624,19486,18417,17404,na,na,na,na,na,na,na,na,na,10075,na,na,na,na,na,na,na,na,na,na,na,na,4019
  80 Years & Over,74839,72730,70103,65888,61460,56859,54106,52352,50370,47440,44981,42855,40690,38544,36258,33878,31828,30052,28563,27314,26223,25483,24251,23142,22574,22188,21662,21104,20451,19650,18847,17776,16775,15705,na,na,na,na,na,na,na,na,na,7701,na,na,na,na,na,na,na,na,na,4327,na,na,na,na,na,na,na,na,na,na,na,na,1499
  85 Years & Over,36154,34690,34113,32891,30770,28862,27387,25912,24470,23049,21527,20142,18826,17679,16791,16033,15201,14572,13961,13103,12397,12012,11269,10616,10286,9959,9490,8970,8489,7894,7412,6872,6445,6039,na,na,na,na,na,na,na,na,na,3036,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,446
  90 Years & Over,14779,14367,13850,13094,12286,11327,10432,9622,8940,8609,8236,7805,7421,7041,6608,6262,5898,5607,5303,4878,4446,4161,3751,3410,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Total Indians,374863,366405,354885,362274,362637,360528,358821,356876,354952,353021,351667,351025,349036,348119,343509,323431,313395,303096,291131,278106,269899,271923,262968,257866,253304,245774,236431,227746,220266,214276,208548,203649,198779,194048,185308,180704,176112,171699,167351,162663,158008,153186,148322,143404,153500,152700,151900,151100,150200,149400,148400,147300,146300,140891,145100,144600,142900,141200,140500,138400,137400,137100,135700,133200,131800,131300,124084
  0 - 4 Years,14608,14873,15047,15642,16234,16689,17040,17312,17434,17378,18276,20355,22037,24425,25702,24335,24077,23635,22754,21843,21637,21465,20944,20808,21209,21102,20783,20512,20371,20194,19771,19354,18516,17564,16793,16137,15705,15400,15173,14325,13356,12095,10884,9670,10400,10800,11600,12400,13300,13700,14100,14600,15100,15468,16900,18400,19100,19800,20700,21500,22200,22900,23100,22400,21700,21000,18843
  5 - 9 Years,20477,20686,20841,21425,22171,22990,24252,25415,26269,26878,27413,27311,26880,26555,25982,24789,24502,24089,23531,22885,22705,22965,22611,22569,22432,21861,21058,19992,18830,17951,16911,16206,15646,15204,14544,13915,12951,12078,11128,10713,10668,10990,11320,11763,12900,13600,14000,14800,15500,16600,17500,18500,18900,18890,20100,20600,21200,21000,20400,19600,18500,17600,16900,16200,16000,15600,14413
  10 - 14 Years,24558,25209,25443,26270,26779,26758,26234,25676,25175,24969,24614,24424,24143,23946,23616,23331,23161,23146,22967,22693,22220,22035,21098,20154,19277,18218,17359,16680,16141,15507,14778,13867,13224,12567,11923,11936,12243,12585,13074,13377,13707,13881,14456,15063,16500,17300,18200,18700,19300,19700,19700,19800,19500,18494,18500,17600,16300,15600,15000,14600,14000,13700,13100,12100,10500,9400,7743
  15 - 19 Years,26543,25441,24093,23972,24116,23655,23262,22939,22689,22579,22643,22794,22805,22769,22594,22088,21576,20902,19952,19096,18209,17804,17192,16826,16254,15618,14600,13890,13147,12703,12790,13203,13699,14405,14468,14721,14883,15433,16119,16798,17528,18104,18217,18327,19800,19900,19900,19600,19200,18200,17400,16300,15400,14203,13700,13200,12700,12100,11100,9400,8400,7300,6500,6700,7500,8400,8632
  20 - 24 Years,23422,22730,21961,22316,22280,22268,22405,22438,22501,22452,22273,22169,21844,21688,21501,20222,19406,18793,18239,17322,16697,16107,15363,14784,14564,14582,14672,14802,15212,15619,15956,16303,16915,17766,17826,18629,19275,19542,19722,19829,19497,19091,18432,17451,18800,17900,16900,15800,14800,14200,13500,12900,12600,10994,9000,7900,6800,5900,6100,6600,7600,8100,8900,9100,9200,9600,10123
  25 - 29 Years,22906,22659,22284,23347,23471,23361,23164,22787,22662,23161,23898,25091,26761,29326,30084,26496,24568,23279,21604,19638,19546,19679,19248,20100,21002,20924,20140,19633,19736,20242,20907,21473,21697,21794,21135,20904,20669,20152,19361,18329,17147,15913,14781,13447,14700,14000,13300,12800,11700,10200,9100,8300,7700,7687,6400,7100,7500,8000,8000,8300,8500,9500,10700,11800,13100,14500,14151
  30 - 34 Years,25085,24578,23320,23820,24264,24723,25858,27781,30273,32386,34287,35317,36171,36415,35384,31668,30656,29538,28233,26211,25680,25505,24894,25242,25723,25690,25123,24327,23699,23373,22855,22492,21905,21069,19442,18359,17244,16257,15059,14255,13417,12588,11927,10674,10600,9400,8400,7700,8000,8700,9100,9100,8900,8454,7900,7900,8800,9700,10700,11700,13000,13300,14100,13600,13600,13200,12936
  35 - 39 Years,27495,27660,28054,30431,32131,33661,34578,35342,35478,35755,35697,35813,35490,35085,33514,31092,30203,29262,28438,27612,27454,27866,27082,26653,26249,25364,24451,23419,22268,21085,19862,18759,17800,16590,15435,14658,13842,13274,11995,10367,9153,8061,7151,7254,8700,8900,9000,8800,8500,8000,8100,8600,9300,9632,11000,11900,11900,12700,12400,12300,11800,12000,12000,12200,12100,12700,12256
  40 - 44 Years,34641,34199,33404,34183,34326,34181,34164,33829,33534,32716,31944,31239,30512,30093,29544,28803,28500,27821,27003,26420,25571,25431,24538,23670,22520,21228,19877,18776,17474,16692,15927,15115,14614,13315,11366,10091,8938,7910,8030,8481,8571,8480,8089,7685,8000,7900,8200,8600,9100,9700,10300,10600,10800,10887,11400,10800,10600,10600,11100,10700,11100,11100,11300,10500,10400,9700,8941
  45 - 49 Years,33579,32755,31548,32120,31391,30480,29727,29035,28684,28494,28417,28253,27801,27251,26690,25690,25140,24204,23224,22065,20909,20124,19185,18045,17354,16546,15678,15139,13784,12039,10712,9531,8434,8565,8993,9072,8955,8521,8061,7614,7387,7606,7908,8155,9100,9400,9600,9700,9800,9700,9700,9900,10000,9617,9800,10300,9900,9900,9200,9000,8300,8000,7400,7500,7100,7300,6817
  50 - 54 Years,29587,28341,26868,27475,27322,27280,27019,26523,25955,25726,24990,24324,23466,22443,21813,20653,19477,18425,17171,16475,15643,15609,15134,13875,12142,10818,9591,8498,8613,9101,9218,9141,8708,8238,7633,7436,7665,7971,8241,8581,8709,8675,8610,8476,8500,8500,8600,8400,8200,8200,8200,7900,7700,7028,8200,7500,7000,6400,6500,6200,6100,6100,5400,5000,4800,4400,4242
  55 - 59 Years,26175,25472,24396,24755,24545,23858,23305,22471,21646,20447,19366,18317,17485,16308,16085,15287,14620,14119,12863,11233,9890,9261,8194,8359,8846,8967,8903,8482,8020,7541,7343,7553,7886,8193,8444,8588,8552,8464,8285,7865,7573,7273,6945,6572,6800,6800,6400,6100,5800,5400,5200,5000,4900,4734,5400,5300,5100,4500,4400,4100,3700,3700,3200,3300,3200,3200,2761
  60 - 64 Years,22642,21754,20526,20451,19503,18500,17502,16676,15647,14953,14318,13650,13213,12009,10713,9380,8246,7148,7143,7445,7371,8310,8000,7662,7247,7064,7237,7543,7752,8063,8204,8189,8110,7884,7415,7092,6785,6484,6114,5852,5538,5148,4761,4311,4100,3900,3800,3700,3600,3700,3400,3000,2900,2463,3500,3000,3000,2700,2800,2700,2600,2300,1900,1600,1400,1200,1188
  65 - 69 Years,17241,16007,14959,14577,14063,13432,12797,12372,11230,9759,8575,7440,6427,6376,6785,6724,6783,6530,6277,5966,5861,6605,6963,7254,7536,7628,7594,7483,7319,6920,6568,6145,5858,5568,5175,4872,4495,4132,3710,3271,2991,2746,2538,2446,2500,2400,2200,2200,1900,1800,1600,1500,1400,1337,2200,2000,1800,1500,1300,1000,900,900,700,800,700,600,551
  70 - 74 Years,12113,11367,10747,10101,8823,7788,6684,5710,5626,5807,5782,5815,5597,5374,5235,5074,5171,5326,5377,5447,5479,6478,6562,6666,6309,5973,5412,4924,4489,4114,3867,3637,3373,3088,2675,2431,2244,2058,1960,1815,1668,1526,1394,1242,na,na,na,na,na,na,na,na,na,615,na,na,na,na,na,na,na,na,na,na,na,na,280
  75 - 79 Years,6604,5603,4552,4651,4829,4838,4873,4715,4517,4292,4159,4091,4104,4047,4344,4319,4127,3909,3649,3270,2812,4361,3944,3388,2926,2590,2441,2257,2087,1892,1739,1646,1528,1451,na,na,na,na,na,na,na,na,na,552,na,na,na,na,na,na,na,na,na,264,na,na,na,na,na,na,na,na,na,na,na,na,111
  80 - 84 Years,3695,3687,3516,3461,3310,3178,3160,3171,3097,2996,2931,2789,2639,2515,2393,2108,1950,1852,1725,1610,1481,1518,1327,1190,1108,1019,980,927,899,856,795,735,622,554,na,na,na,na,na,na,na,na,na,206,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,57
  85 - 89 Years,2054,2002,2000,2003,1948,1882,1838,1756,1688,1545,1433,1256,1137,1011,988,918,842,774,692,614,512,549,492,438,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
  65 Years & Over,43145,40048,37100,36067,34104,32124,30311,28652,27005,25127,23531,21968,20428,19806,20287,19597,19263,18735,18009,17168,16367,19762,19485,19119,18485,17792,16959,16052,15225,14168,13316,12463,11627,10894,9893,9167,8406,7628,6993,6279,5759,5280,4841,4556,4600,4400,4000,4000,3400,3400,3100,2800,2600,2340,3300,3100,3000,2300,2100,1700,1600,1500,1200,1200,1200,1100,1038
  70 Years & Over,25904,24041,22141,21490,20041,18692,17514,16280,15775,15368,14956,14528,14001,13430,13502,12873,12480,12205,11732,11202,10506,13157,12522,11865,10949,10164,9365,8569,7906,7248,6748,6318,5769,5326,4718,4295,3911,3496,3283,3008,2768,2534,2303,2110,2100,2000,1800,1800,1500,1600,1500,1300,1200,1003,1100,1100,1200,800,800,700,700,600,500,400,500,500,487
  75 Years & Over,13791,12674,11394,11389,11218,10904,10830,10570,10149,9561,9174,8713,8404,8056,8267,7799,7309,6879,6355,5755,5027,6679,5960,5199,4640,4191,3953,3645,3417,3134,2881,2681,2396,2238,2043,1864,1667,1438,1323,1193,1100,1008,909,868,na,na,na,na,na,na,na,na,na,388,na,na,na,na,na,na,na,na,na,na,na,na,207
  80 Years & Over,7187,7071,6842,6738,6389,6066,5957,5855,5632,5269,5015,4622,4300,4009,3923,3480,3182,2970,2706,2485,2215,2318,2016,1811,1714,1601,1512,1388,1330,1242,1142,1035,868,787,na,na,na,na,na,na,na,na,na,316,na,na,na,na,na,na,na,na,na,124,na,na,na,na,na,na,na,na,na,na,na,na,96
  85 Years & Over,3492,3384,3326,3277,3079,2888,2797,2684,2535,2273,2084,1833,1661,1494,1530,1372,1232,1118,981,875,734,800,689,621,606,582,532,461,431,386,347,300,246,233,na,na,na,na,na,na,na,na,na,110,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,39
  90 Years & Over,1438,1382,1326,1274,1131,1006,959,928,847,728,651,577,524,483,542,454,390,344,289,261,222,251,197,183,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Total Male Indians,190916,187515,182594,185565,185343,184496,183818,182935,182304,181359,180889,180948,180548,180327,178129,167149,161484,155938,149621,142754,138642,140768,136485,134337,132410,128828,124214,119893,116301,113504,110938,108869,106928,104996,100669,98417,96204,93975,91819,89562,87337,85015,82711,80435,87900,87900,87900,87800,87700,87700,87600,87600,87600,85083,87900,88200,87500,87200,88000,87400,87900,89000,88800,88000,88100,89100,85988
  0 - 4 Years,7646,7743,7799,8074,8327,8571,8703,8635,8621,8530,8983,10015,10916,12116,12798,12314,12163,12031,11655,11227,11115,11053,10825,10685,10871,10787,10672,10485,10405,10283,10079,9841,9494,9072,8695,8337,8154,7998,7827,7384,6891,6225,5568,4940,5400,5600,5900,6300,6800,7000,7200,7500,7700,7857,8200,8800,9100,9500,10000,10400,10800,11300,11400,11100,10800,10400,9601
  5 - 9 Years,10666,10757,10674,10827,11177,11518,12021,12637,13032,13285,13577,13571,13420,13313,13201,12611,12463,12300,11993,11693,11561,11764,11531,11495,11413,11155,10671,10207,9695,9243,8699,8397,8119,7854,7517,7189,6677,6198,5703,5541,5509,5599,5779,6046,6600,7000,7200,7600,7900,8400,8900,9300,9500,9563,9600,9900,10200,10100,9900,9600,9000,8700,8400,8000,7900,7800,7224
  10 - 14 Years,12224,12491,12726,13172,13320,13329,13045,12722,12541,12534,12326,12272,12108,12020,11835,11705,11725,11720,11624,11492,11293,11109,10720,10320,9862,9326,8964,8646,8335,8029,7647,7162,6796,6434,6160,6161,6244,6438,6744,6880,7058,7224,7463,7704,8400,8800,9300,9500,9900,10200,10300,10500,10200,9641,8800,8500,7800,7600,7300,7100,6900,6700,6500,6000,5400,5000,4396
  15 - 19 Years,13213,12768,12149,12054,12114,11849,11678,11463,11319,11241,11232,11362,11332,11314,11214,11071,10771,10539,10139,9688,9246,9100,8808,8591,8307,7995,7512,7147,6753,6576,6585,6695,6974,7417,7466,7636,7794,8026,8325,8606,8985,9199,9268,9388,10400,10700,10800,10600,10300,9700,9100,8500,8000,7388,6600,6400,6000,5800,5400,4700,4400,4100,3800,4100,4600,5300,5356
  20 - 24 Years,11761,11507,11199,11170,11097,11058,11163,11125,11125,11075,10987,10863,10752,10621,10323,9811,9492,9182,8833,8452,8099,7843,7470,7129,6979,7020,7069,7225,7483,7677,7926,8237,8613,9080,9118,9497,9732,9844,9954,10091,10003,9905,9604,9120,10300,9600,9000,8400,7800,7500,7100,6700,6500,5723,4500,4100,3700,3400,3600,4100,4700,4900,5200,5200,5300,5600,6343
  25 - 29 Years,11420,11347,11153,11531,11547,11510,11330,11136,10966,10907,11080,11553,12389,13581,14031,12088,10820,10038,9379,8617,8703,8800,8739,9459,10131,10290,10034,9733,9791,10019,10403,10663,10838,10979,10730,10674,10642,10354,9914,9318,8628,8019,7512,6894,7900,7500,7000,6700,6000,5300,4800,4400,4200,4269,3900,4300,4500,4500,4600,4700,4900,5900,7000,8100,9300,10600,10633
  30 - 34 Years,12263,11965,11436,11486,11477,11541,11997,12869,14105,15296,16555,17505,18481,18990,18783,16639,15951,15365,14748,13454,13361,13291,12952,13218,13516,13387,12852,12300,11910,11796,11655,11604,11334,10938,9989,9306,8745,8258,7649,7279,6844,6413,6082,5445,5600,5000,4500,4200,4500,4900,5000,5000,4800,4497,4400,4500,5300,6300,7300,8300,9400,9900,10700,10500,10700,10600,10562
  35 - 39 Years,12696,12825,13163,14298,15236,16330,17284,18172,18689,19363,19702,20103,20231,20299,19482,17879,17255,16549,15827,15099,14914,14745,14132,13818,13648,13231,12761,12170,11534,10837,10080,9558,9090,8425,7871,7475,7022,6744,6126,5319,4759,4180,3787,3888,4900,4900,4900,4700,4500,4200,4500,5100,5900,6505,7700,8600,8800,9600,9500,9600,9400,9700,9900,10100,10000,10600,10323
  40 - 44 Years,16951,17235,17396,18122,18564,18881,19183,19315,19461,19086,18724,18282,17781,17382,16847,16117,15735,15062,14416,14019,13560,13386,12887,12420,11708,10860,10176,9569,8831,8464,8082,7643,7421,6838,5851,5285,4717,4278,4397,4687,4667,4562,4239,3947,4200,4300,4700,5300,6000,6700,7300,7700,8100,8281,8800,8600,8500,8600,9100,8800,9200,9300,9500,8900,8900,8300,7770
  45 - 49 Years,18482,18449,18103,18577,18201,17731,17277,16798,16484,16192,15948,15624,15156,14699,14330,13710,13444,12916,12351,11566,10807,10314,9763,9110,8800,8361,7870,7610,7010,6165,5593,5039,4604,4751,5067,5054,4912,4550,4239,3946,3960,4294,4750,5201,6100,6500,6900,7100,7300,7400,7500,7800,8000,7803,8100,8400,8200,8300,7800,7700,7200,6900,6400,6500,6200,6400,5980
  50 - 54 Years,17111,16388,15538,15643,15363,15181,14776,14316,13913,13716,13329,13007,12521,11928,11424,10674,10070,9453,8695,8375,7888,7776,7566,6987,6146,5574,4988,4542,4697,5065,5112,5016,4669,4371,3930,3946,4303,4760,5217,5708,5967,6078,6127,6120,6300,6400,6600,6600,6500,6500,6600,6400,6300,5898,6900,6400,6000,5500,5600,5300,5400,5300,4700,4400,4200,3800,3711
  55 - 59 Years,14420,13839,13149,13131,12946,12572,12325,11865,11401,10655,9961,9420,8949,8260,8124,7676,7272,7021,6409,5621,4996,4722,4284,4464,4802,4856,4781,4455,4160,3838,3842,4192,4662,5158,5623,5890,5993,6001,5937,5724,5586,5436,5256,5008,5200,5300,5100,4900,4700,4400,4200,4100,4000,3886,4700,4600,4400,3900,3800,3500,3200,3200,2800,2900,2800,2800,2367
  60 - 64 Years,11817,11422,10796,10646,10013,9365,8848,8377,7808,7494,7124,6712,6474,5928,5292,4656,4102,3615,3633,3800,3681,4332,4096,3858,3584,3591,3903,4359,4774,5282,5564,5701,5720,5625,5350,5202,5022,4856,4597,4420,4215,3973,3697,3362,3200,3100,3000,2900,2900,2900,2700,2400,2400,2015,3000,2600,2600,2300,2400,2300,2200,2000,1600,1300,1100,1000,957
  65 - 69 Years,8534,7987,7429,7139,6899,6543,6170,5945,5412,4686,4166,3588,3128,3132,3314,3235,3251,3122,2973,2791,2842,3454,3931,4368,4830,5097,5209,5218,5186,4980,4789,4506,4372,4146,3845,3626,3400,3140,2839,2501,2286,2086,1893,1834,1900,1800,1700,1700,1500,1400,1300,1200,1100,1044,1900,1700,1500,1200,1100,800,700,700,500,600,500,500,416
